Professor,ClassNum,CatalogNum,Title,Days,Time,Location
Cecile S Bendavid,15858,COMP 100,Computers: Their Impact and Use,MoWe,09:30 AM - 10:45 AM,JD1105
Cecile S Bendavid,15759,COMP 100,Computers: Their Impact and Use,MoWe,11:00 AM - 12:15 PM,JD1105
Cecile S Bendavid,15758,COMP 100,Computers: Their Impact and Use,TuTh,11:00 AM - 12:15 PM,JD1105
Vijay J Bhatt,15782,COMP 222,Computer Organization,TuTh,05:00 PM - 06:15 PM,JD1538
Vijay J Bhatt,16387,COMP 222,Computer Organization,TuTh,02:00 PM - 03:15 PM,JD1538
Vijay J Bhatt,16496,COMP 222,Computer Organization,TuTh,03:30 PM - 04:45 PM,JD1538
Mike Boctor,15791,COMP 424,Computer System Security,Mo,07:00 PM - 09:45 PM,JD1104
Somayeh Boroumandi,20871,COMP 322,Introduction to Operating Systems and System Architecture,TuTh,07:00 PM - 08:15 PM,ONLINE
Somayeh Boroumandi,20856,COMP 322,Introduction to Operating Systems and System Architecture,MoWe,07:00 PM - 08:15 PM,ONLINE
Somayeh Boroumandi,20857,COMP 322L,Introduction to Operating Systems and System Architecture Lab,MoWe,08:30 PM - 09:45 PM,ONLINE
Somayeh Boroumandi,20872,COMP 322L,Introduction to Operating Systems and System Architecture Lab,TuTh,08:30 PM - 09:45 PM,ONLINE
Chris Bowles,16193,COMP 110,Introduction to Algorithms and Programming,TuTh,11:00 AM - 12:15 PM,JD1538
